book-magical-eye|0.3988,0.7059,1.3681|-0.0000,30.0000,-0.0000
Witch Hat|0.4441,1.2838,0.9118|345.0000,0.0000,330.0000
Head_Candle_C|1.4983,2.0736,3.9242|45.0000,170.0000,-0.0000
Candle_G|0.9108,1.3309,3.6095|-0.0000,0.0000,0.0000
Candle_Group_A|0.8713,1.3309,3.5185|-0.0000,0.0000,0.0000
Candle_Group_A|0.9517,1.3309,3.7958|-0.0000,0.0000,0.0000
Candle_G|0.9798,1.3309,3.6644|-0.0000,0.0000,0.0000
Candle_Group_C|2.0555,0.0019,-0.5109|-0.0000,0.0000,0.0000
Candle_D|1.9918,0.0019,-0.5785|-0.0000,0.0000,0.0000
Candle_Group_A|2.0304,0.0019,-0.6501|0.0000,290.0000,0.0000
Candle_G|2.0979,0.0019,-0.4240|-0.0000,0.0000,0.0000
Candle_Group_B|-2.0449,0.0019,3.2065|0.0000,330.0000,0.0000
Candle_C|-2.0890,0.0019,3.3184|-0.0000,0.0000,0.0000
Candle_A|-1.8219,0.0019,3.1813|-0.0000,0.0000,0.0000
Candle_D|-2.0795,0.0019,3.3782|-0.0000,0.0000,0.0000
Candle_F|-1.9715,0.0019,3.3102|-0.0000,0.0000,0.0000
Candle_B|-1.8922,0.0019,3.2461|-0.0000,0.0000,0.0000
Candle_F|-1.8390,0.0019,3.3196|-0.0000,0.0000,0.0000
Candle_C|-0.8684,0.0019,-3.3727|-0.0000,0.0000,0.0000
Candle_Group_B|-0.9579,0.0019,-3.4052|-0.0000,0.0000,0.0000
Candle_Group_C|-0.8637,0.0019,-3.5322|-0.0000,40.0000,-0.0000
Candle_C|-0.8777,0.0019,-3.2889|-0.0000,0.0000,0.0000
Candle_G|-0.9822,0.0019,-3.5251|-0.0000,0.0000,0.0000
Candle_D|-0.9118,0.0019,-3.3322|-0.0000,0.0000,0.0000
Candle_E|-1.0013,0.0019,-3.3086|-0.0000,0.0000,0.0000
Candle_F|-0.8080,0.0019,-3.2706|-0.0000,0.0000,0.0000
Candle_F|-1.0003,0.0125,-3.1938|-0.0000,0.0000,0.0000
Candle_E|-0.9348,0.0019,-3.5969|-0.0000,0.0000,0.0000
Candle_B|0.0336,0.8728,-3.6863|-0.0000,0.0000,0.0000
Candle_Group_C|-0.9539,0.0019,-3.7390|-0.0000,50.0000,-0.0000
Candle_D|-0.0239,0.8728,-3.6079|-0.0000,0.0000,0.0000
Candle_H|0.0475,0.8728,-3.5976|-0.0000,0.0000,0.0000
Candle_A|-0.0417,0.8728,-3.6940|-0.0000,0.0000,0.0000
Candle_F|-0.0941,0.8728,-3.5977|-0.0000,0.0000,0.0000
Candle_Group_C|-0.8619,0.0019,-3.6884|0.0000,290.0000,0.0000
Skeleton_head|-0.3204,0.7059,1.1245|-0.0000,20.0000,-0.0000
Pumpkin_D|-1.9883,0.0285,-1.9881|-0.0000,30.0000,-0.0000
Pumpkin_B|-1.9374,0.0248,-2.3350|-0.0000,100.0000,-0.0000
