Skeleton|-6.4358,6.2649,1.2080|-0.0000,20.0000,-0.0000
Candle_G|-6.9984,6.2649,1.3227|-0.0000,0.0000,0.0000
Candle_B|-6.8182,6.2649,1.7555|-0.0000,0.0000,0.0000
Candle_Group_C|-7.0500,6.2649,1.4377|-0.0000,0.0000,0.0000
Candle_Group_C|-6.2287,6.2649,0.5146|-0.0000,70.0000,-0.0000
Pumpkin_g|-3.5452,1.1777,9.5273|0.0000,260.0000,0.0000
Pumpkin_e|7.1534,0.4800,13.2121|55.0655,230.0000,359.6363
Pumpkin_d|-3.5470,1.1777,9.9037|0.0000,280.0000,0.0000
Skeleton_left_arm_b|-6.8295,6.6256,-5.2146|334.3408,40.0000,73.8982
Skeleton_pelvis_ribs|-7.1937,6.6616,-5.4507|297.6686,210.0000,23.2105
Skeleton_head|-7.0383,6.6592,-5.3413|319.2942,210.0000,10.9111
Skeleton_right_leg_b|-7.0973,6.8990,-5.4452|64.0967,70.0000,331.7562
Skeleton_left_arm_A|-2.4963,8.6957,-0.8128|270.0000,90.0000,0.0000
Skeleton_pelvis_ribs|-2.4796,0.0000,-0.6076|0.0000,320.0000,0.0000
Skeleton_right_leg_a|-2.9741,4.3635,-0.8938|270.0000,170.0000,0.0000
Skeleton_head|-0.0676,0.0000,-3.0363|314.9999,-0.0000,75.0000
Skeleton_left_leg_b|-2.2234,0.0000,1.1966|-0.0000,40.0000,-0.0000
Skeleton_right_arm_b|-2.2081,0.0000,-0.4575|-0.0000,20.0000,-0.0000
Candle_Group_A|0.7627,1.8505,6.5226|0.0000,330.0000,0.0000
Candle_Group_B|-4.0249,0.7276,8.5670|-0.0000,100.0000,-0.0000
Candle_Group_C|2.7977,1.3998,0.4857|-0.0000,80.0000,-0.0001
Candle_H|7.4610,1.6613,-5.2636|-0.0000,0.0000,0.0000
Candle_Group_C|-2.1754,6.1874,-1.4244|-0.0000,100.0000,-0.0000
Candle_G|7.4682,1.6613,-5.3256|-0.0000,0.0000,0.0000
book-evil-open|-6.1113,6.2649,0.7635|-0.0000,60.0000,-0.0000
scythe|-4.0220,1.0800,9.8634|345.0001,210.0000,180.0000
witch hat|-7.0459,6.8889,0.5010|330.0000,0.0000,0.0000
head_candle_a|5.0896,1.6621,-5.2792|-0.0000,70.0000,-0.0000
wooden coffin a|-0.0087,0.8033,1.1448|0.0000,250.0000,0.0000
Candle_F|-6.7154,6.7594,-5.0610|355.7378,4.5618,8.3527
Candle_H|4.4916,0.8994,1.1677|-0.0000,-0.0000,0.0000
Candle_G|4.2259,0.8994,-0.4143|-0.0000,0.0000,0.0000
