Witch Hat|-4.8497,1.4733,-3.1696|-0.0000,0.0000,0.0000
Candle_Group_A|-5.1159,1.4733,-3.1808|-0.0000,0.0000,0.0000
Candle_Group_C|-0.8280,1.1719,-0.8712|-0.0000,0.0000,0.0000
Head_Candle_A|-1.7252,1.1719,-0.8753|-0.0000,0.0000,0.0000
Candle_Group_B|6.7789,1.1499,-0.0833|-0.0000,0.0000,0.0000
Pumpkin_F|3.0554,1.1719,1.5567|46.2993,239.5461,-0.0000
Candle_Group_C|4.4022,4.7989,-3.0573|-0.0000,0.0000,0.0000
Skeleton_left_leg_B|4.5768,4.7989,-3.0369|-0.0000,0.0000,0.0000
Skeleton_right_leg_A|4.2624,4.7989,-3.0925|-0.0000,0.0000,0.0000
Candle_C|3.2555,1.3787,-3.1612|-0.0000,0.0000,0.0000
Skeleton_head|-5.6240,3.7932,0.1491|-0.0000,0.0000,0.0000
Pumpkin_G|-3.6476,4.7591,3.8524|21.3323,136.5642,0.0000
Candle_Group_A|-1.0260,4.8263,-3.0291|-0.0000,0.0000,0.0000
Witch Hat|-5.7302,2.6340,3.9173|45.7992,130.0000,0.0000
Gravestone S1|-5.7278,0.0215,-0.2416|-0.0000,50.0000,-0.0000
Wooden Coffin B|-5.7106,0.0215,0.3014|-0.0000,0.0000,0.0000
Head_Candle_D|-5.2229,0.0487,-0.2112|-0.0000,40.0000,-0.0000
Skeleton_pelvis_ribs|-5.2885,0.0106,0.2355|-0.0000,0.0000,0.0000
Skeleton_left_leg_A|-5.1831,0.0138,0.6223|0.0000,350.0000,0.0000
Zombie_Hand|3.2444,1.1519,-3.1471|0.0000,240.0000,0.0000
Lantren_B|0.0510,7.8330,0.3253|-0.0000,0.0000,0.0000
Lantren_B|0.4060,3.2020,-0.6581|-0.0000,0.0000,0.0000
Skeleton|-4.6351,4.4093,-2.7307|15.0001,90.0000,0.0000
Pumpkin_A|-5.6063,1.1719,-1.7903|4.1463,73.6371,0.0000
Skeleton|-3.2650,1.5607,4.3621|90.0000,180.0000,0.0000
Candle_F|-5.7484,0.8571,-0.2609|-0.0000,0.0000,0.0000
Skeleton_head|-5.2808,0.5758,-3.2256|-0.0000,50.0000,-0.0000
Pumpkin_A|3.0686,1.1719,-2.1420|-0.0000,319.0476,0.0000
