Pumpkin_F|-324.6600,31.5162,-522.5001|-0.0000,249.4073,0.0000
Candle_E|299.0000,239.9797,353.7831|-0.0000,0.0000,0.0000
Candle_E|298.6420,239.9797,354.0001|-0.0000,0.0000,0.0000
Candle_G|300.6790,240.1538,348.1650|-0.0000,0.0000,0.0000
Candle_A|299.5240,240.5576,353.8501|-0.0000,0.0000,0.0000
Candle_Group_B|299.9940,240.0061,351.2071|-0.0000,0.0000,0.0000
Candle_E|300.2970,240.1538,347.4550|-0.0000,0.0000,0.0000
Pumpkin_E|174.7198,30.6227,-399.7068|-0.0000,254.6368,0.0000
Pumpkin_G|297.9670,239.0355,354.1269|0.0000,219.0828,0.0000
Pumpkin_C|173.6058,30.4715,-396.1968|-0.0000,254.4851,0.0000
Pumpkin_E|296.4110,240.0623,349.9280|0.0000,220.9949,0.0000
Candle_E|296.7950,240.0623,350.6840|-0.0000,0.0000,0.0000
Pumpkin_A|139.2090,24.5579,-432.5400|-0.0000,256.9204,0.0000
Pumpkin_E|-324.6600,31.5162,-522.5001|-0.0000,249.2957,0.0000
Pumpkin_A|164.7758,30.1979,-428.0869|-0.0000,257.0544,0.0000
Pumpkin_G|179.3937,30.6128,-414.3898|-0.0000,256.1647,0.0000
Pumpkin_D|180.5757,30.6355,-414.3898|-0.0000,256.6768,0.0000
Pumpkin_E|179.8858,30.6350,-412.9868|-0.0000,256.0553,0.0000
Pumpkin_F|-325.8600,31.6045,-523.9800|-0.0000,250.0307,0.0000
Pumpkin_F|122.0356,24.2852,-344.0610|-0.0000,248.4540,0.0000
Pumpkin_E|-326.9700,31.5903,-523.6000|-0.0000,249.5026,0.0000
Pumpkin_B|175.1688,30.2850,-409.5748|-0.0000,255.6619,0.0000
Pumpkin_D|119.5800,24.6956,-347.6799|-0.0000,248.7636,0.0000
Pumpkin_A|-394.5998,32.9465,-599.8908|-0.0000,297.3717,0.0000
Candle_B|-391.4607,33.2289,-601.1919|-0.0000,0.0000,0.0000
Skeleton|-387.5143,32.0825,-596.7465|3.7501,220.0000,180.0000
Candle_Group_B|-386.9427,31.8825,-596.4580|-0.0000,0.0000,0.0000
Pumpkin_B|-393.0240,31.8825,-595.5417|-0.0000,291.2853,0.0000
Pumpkin_F|-382.8489,33.0595,-598.9929|-0.0000,292.5354,0.0000
Pumpkin_G|-381.8087,32.5689,-598.1463|-0.0000,290.0013,0.0000
Candle_G|-415.4869,35.5564,-575.1273|-0.0000,0.0000,0.0000
Candle_D|-433.9081,38.9994,-593.4641|-0.0000,0.0000,0.0000
Pumpkin_E|-426.5587,37.7401,-564.5546|-0.0000,253.7879,0.0000
Pumpkin_D|-427.3489,37.7401,-564.4545|-0.0000,280.9007,0.0000
Lantren_A|-431.0543,46.1849,-581.6977|-0.0000,0.0000,0.0000
Lantren_B|-423.8025,46.2893,-574.5835|-0.0000,0.0000,0.0000
Candle_Group_A|-444.5485,36.4115,-568.8123|-0.0000,-0.0000,0.0000
Pumpkin_D|-458.5280,34.1460,-565.7452|-0.0000,94.9315,-0.0000
Skeleton|-445.6023,35.6498,-569.5932|33.7501,220.0000,-0.0000
