Candle_Group_A|-0.0826,4.8095,1.1626|-0.0000,0.0000,0.0000
Candle_F|2.1128,5.2937,2.7307|-0.0000,-0.0000,0.0000
Candle_Group_C|4.6848,5.6924,0.0860|-0.0000,0.0000,0.0000
Candle_F|4.0239,8.5380,4.7062|-0.0000,0.0000,0.0000
Pumpkin_F|2.5533,8.7175,3.2535|0.0000,204.3291,0.0000
Pumpkin_E|3.3523,8.4491,2.8649|-0.0000,357.0013,0.0000
Pumpkin_E|3.4715,8.7135,1.9609|-0.0000,247.8370,0.0000
Candle_Group_C|4.4152,9.7544,-0.0876|-0.0000,0.0000,0.0000
Skeleton|2.0057,4.0000,2.0883|-0.0000,0.0000,0.0000
Candle_F|0.9345,1.0188,-0.9391|-0.0000,0.0000,0.0000
Candle_B|-0.1371,1.0188,4.5504|-0.0000,0.0000,0.0000
Pumpkin_F|0.4029,0.0000,4.6378|-0.0000,155.0852,-0.0000
