Candle_B|6.8280,0.9526,-26.1033|-0.0000,0.0000,0.0000
Candle_Group_A|-8.2430,0.3330,-25.5280|-0.0000,0.0000,0.0000
Pumpkin_D|-5.5500,-0.4537,-5.9390|-0.0000,98.0371,-0.0000
Candle_B|0.2881,0.3330,-22.7227|-0.0000,0.0000,0.0000
Pumpkin_D|-3.2277,0.7785,-26.4953|-0.0000,36.9035,-0.0000
Pumpkin_F|-1.7730,1.4854,-26.3834|-0.0000,342.7375,0.0000
Pumpkin_G|-0.8194,0.1163,-26.4934|-0.0000,30.4948,-0.0000
Pumpkin_A|-4.8707,1.0033,-22.1190|-0.0000,50.6852,-0.0000
Pumpkin_C|-11.2615,1.1234,-24.0070|-0.0000,15.5267,-0.0000
Candle_Group_A|5.9229,0.8929,-13.7796|-0.0000,0.0000,0.0000
Candle_Group_C|8.7114,0.3085,-4.6269|-0.0000,0.0000,0.0000
Skeleton|0.7584,0.3895,-3.1590|0.0000,270.0000,0.0000
Skeleton|0.9858,0.3764,-7.4844|0.0000,180.0000,0.0000
Candle_Group_B|0.2209,0.9823,4.3847|-0.0000,0.0000,0.0000
Candle_D|9.6934,2.8015,-8.9644|-0.0000,0.0000,0.0000
Candle_B|11.5581,0.9823,1.2967|-0.0000,0.0000,0.0000
Pumpkin_G|10.8302,0.2949,0.9475|0.0000,219.7245,0.0000
Pumpkin_E|-6.4321,1.2871,-3.8391|-0.0000,263.4868,0.0000
Pumpkin_A|-6.3960,1.2871,-3.3179|-0.0000,176.0784,-0.0000
Pumpkin_D|-6.4646,1.2863,-4.2901|0.0000,182.1383,0.0000
Candle_Group_A|0.9869,0.2104,-8.8826|-0.0000,-0.0000,0.0000
Candle_C|-0.7512,0.2109,-3.1084|-0.0000,0.0000,-0.0000
Pumpkin_F|6.6159,4.0364,-9.5517|0.0000,229.6927,0.0000
Pumpkin_D|-11.3240,4.4701,-20.9937|-0.0000,0.0000,0.0000
