Pumpkin_C|557.5624,223.4459,1527.7188|-0.0000,69.9174,-0.0000
Candle_C|555.6509,223.3759,1536.9738|-0.0000,0.0000,0.0000
Candle_Group_A|555.8260,223.3759,1536.6125|-0.0000,0.0000,0.0000
Pumpkin_C|1091.6940,268.3940,1783.5510|-0.0000,244.4348,0.0000
Pumpkin_E|703.4466,288.0486,2106.1301|0.0000,193.0875,0.0000
Pumpkin_F|765.7370,288.2762,2105.3469|0.0000,198.6847,0.0000
Pumpkin_E|1092.1689,267.9312,1780.5790|-0.0000,244.2583,0.0000
Pumpkin_C|959.7434,304.1127,1236.0488|-0.0000,306.9549,0.0000
Candle_E|1097.7981,268.1969,1772.6670|-0.0000,0.0000,0.0000
Candle_Group_C|764.0885,288.1739,2105.3401|-0.0000,0.0000,0.0000
Candle_E|965.9502,305.8756,1240.0383|-0.0000,0.0000,0.0000
Pumpkin_C|964.7598,305.1654,1238.6572|-0.0000,306.8787,0.0000
Candle_A|965.2794,305.1654,1239.0691|-0.0000,0.0000,0.0000
Pumpkin_F|1168.2769,260.6208,1656.5099|-0.0000,258.1479,0.0000
Pumpkin_B|994.2028,357.4441,2287.0400|0.0000,209.1618,0.0000
Candle_G|968.5004,305.0827,1235.0725|-0.0000,0.0000,0.0000
Candle_D|962.0078,305.0827,1237.8606|-0.0000,0.0000,0.0000
Candle_D|964.8215,305.2451,1233.3396|-0.0000,0.0000,0.0000
Candle_F|961.8274,305.0828,1237.5951|-0.0000,0.0000,0.0000
Pumpkin_A|1103.4960,269.2530,1780.5405|-0.0000,244.7409,0.0009
Pumpkin_C|1101.6444,269.2691,1783.3555|-0.0000,244.7042,-0.0002
lantren_a|1107.5005,273.6524,1775.7776|-0.0000,0.0000,0.0000
lantren_a|1098.3915,273.6564,1788.8164|-0.0000,0.0000,0.0000
Pumpkin_A|1105.7183,269.7428,1782.7115|-0.0000,246.2570,356.9219
Pumpkin_G|1104.5491,269.7428,1784.6267|-0.0000,244.7131,0.0001
Head_Candle_C|1102.6163,270.5026,1786.5872|0.0000,190.0000,0.0000
Skeleton_left_arm_B|1102.4343,270.4968,1786.7295|-0.0000,0.0000,0.0000
Wooden Coffin A|1106.4550,270.5428,1782.2715|90.0000,260.0000,0.0000
Candle_Group_C|1106.2760,271.3557,1782.1757|-0.0000,0.0000,0.0000
lantren_a|1105.1538,273.7314,1783.7117|-0.0000,0.0000,0.0000
Skeleton_head|1105.4182,272.0899,1783.9020|60.0001,240.0000,0.0001
Gravestone_F_Destroyed|1096.3915,269.2306,1788.7271|0.0000,240.0000,0.0000
Gravestone_H_Destroyed|1096.9060,269.2610,1787.8096|0.0000,230.0000,0.0000
Gravestone_D_Destroyed|1097.4552,269.2266,1786.9363|0.0000,230.0000,0.0000
Gravestone_B_Destroyed|1098.2188,269.1461,1785.9199|0.0000,240.0000,0.0000
Gravestone_D|1094.8752,269.1377,1787.4084|0.0000,220.0000,0.0000
Gravestone_C_Destroyed|1095.5587,269.0749,1786.3990|0.0000,230.0000,0.0000
Gravestone_G|1097.0802,268.9406,1785.0414|0.0000,230.0000,0.0000
Skeleton arm_up|1094.3920,269.0958,1787.2047|-0.0000,140.0000,-0.0000
Candle_A|1094.7645,269.1314,1787.2936|-0.0000,0.0000,0.0000
Candle_Group_A|1096.9086,268.9527,1785.2917|0.0000,280.0000,0.0000
Candle_Group_C|1097.1499,269.2671,1787.6725|0.0000,350.0000,0.0000
Wooden Coffin B|1095.0215,269.0058,1785.4050|3.7500,230.0000,-0.0000
scarecrow-a|1098.4388,268.3354,1772.7797|0.0000,300.0000,0.0000
scarecrow-a|588.7899,220.2706,1557.0433|-0.0000,80.0000,-0.0000
Pumpkin_E|582.2304,221.4577,1554.8082|0.0000,205.3971,0.0000
Lantren_A|557.1037,225.4747,1531.5024|-0.0000,0.0000,0.0000
