scarecrow-b|1688.0164,47.5001,1760.4169|344.9999,280.0000,11.2500
Skeleton_pelvis_ribs|1646.9952,43.9359,1828.3113|74.0540,30.0000,343.1001
Skeleton_head|1646.9933,44.2077,1828.2898|-0.0000,340.0000,-0.0001
Skeleton_left_arm_b|1646.7390,44.1055,1828.6031|359.4453,309.5819,90.0001
Skeleton_right_arm_b|1647.3531,44.0774,1828.1107|-0.0001,130.0000,285.0000
Skeleton_right_leg_b|1647.3794,43.5968,1828.1682|26.4008,120.0000,47.3291
Skeleton_left_leg_b|1646.7606,43.6112,1828.5925|27.6923,310.0000,292.6879
Gravestone_G|1664.8212,43.2041,1832.3068|0.0000,280.0000,0.0000
Gravestone_D_Destroyed|1665.5688,43.1610,1833.3152|0.0000,330.0000,0.0000
Gravestone_A_Destroyed|1666.5137,42.9793,1834.9758|0.0000,240.0000,0.0000
Gravestone_E_Destroyed|1665.1627,42.9954,1834.5571|0.0000,340.0000,0.0000
Zombie_Hand|1665.2488,43.2064,1833.5300|0.0000,220.0000,0.0000
Wooden Coffin B|1683.5958,42.0491,1833.8346|0.0000,190.0000,0.0000
Skeleton|1683.1027,42.0153,1833.9723|0.0000,190.0000,0.0000
Candle_B|1683.3527,42.0411,1834.4277|-0.0000,0.0000,0.0000
Candle_D|1683.0160,42.0825,1834.4406|-0.0000,0.0000,0.0000
cemetery_gate|1201.3275,35.7316,1456.4243|0.0000,270.0000,0.0000
fence wall a|1200.3029,35.7567,1459.0995|-0.0000,40.0000,-0.0000
fence wall c|1200.3945,35.6845,1453.6864|0.0000,310.0000,0.0000
cemetery_pillar a|1199.3804,35.6702,1452.6715|-0.0000,70.0000,-0.0000
cemetery_pillar a|1198.9397,35.7527,1459.9821|-0.0000,20.0000,-0.0000
fence wall c|1198.1027,35.6440,1452.5100|-0.0000,170.0000,-0.0000
fence wall b|1197.9779,35.7348,1460.0336|-0.0000,0.0000,0.0000
cemetery_pillar a|1196.8141,35.5910,1452.4768|0.0000,280.0000,0.0000
fence wall c|1195.5182,35.5657,1452.8435|345.0000,20.0000,-0.0000
cemetery_pillar b|1196.9559,35.7128,1460.0175|-0.0000,60.0000,-0.0000
cemetery_pillar a|1194.9087,35.6617,1458.8799|0.0000,330.0000,0.0000
fence wall b|1195.9520,35.6895,1459.5455|0.0000,330.0000,0.0000
cemetery_gate|1194.3651,35.5551,1455.1427|270.0000,80.0000,0.0000
fence wall a|1194.3447,35.6124,1457.6960|15.0000,300.0000,0.0000
street lamp_a|1202.2346,35.7991,1457.8506|-0.0000,150.0000,-0.0000
spooky tree_ b|1199.7419,35.6482,1454.5161|0.0000,280.0000,0.0000
Gravestone_F_Destroyed|1199.0309,35.6352,1455.7122|-0.0000,0.0000,0.0000
Gravestone_H_Destroyed|1198.2633,35.6303,1453.4663|-0.0000,0.0000,0.0000
Gravestone_A_Destroyed|1196.9183,35.5886,1454.2756|-0.0000,30.0000,-0.0000
Gravestone_C_Destroyed|1197.0757,35.6779,1459.1178|-0.0000,110.0000,-0.0000
Gravestone_G|1195.6309,35.6078,1457.5848|-0.0000,160.0000,-0.0000
skeleton arm_up|1195.7080,35.5192,1457.3112|0.0000,180.0000,0.0000
Gravestone_H|1198.8945,35.7178,1459.1680|-0.0000,140.0000,-0.0000
Gravestone_E_Destroyed|1198.2386,35.6627,1457.8251|-0.0000,110.0000,-0.0000
lantren_b|1688.0947,47.8713,1759.7556|-0.0000,10.0000,-0.0000
Gravestone_A_Destroyed|1585.2941,44.2579,2409.1172|-0.0000,0.0000,0.0000
Pumpkin_G|1674.1469,44.5457,1824.2882|-0.0000,130.0000,-0.0000
Pumpkin_E|1674.1731,44.8441,1824.2352|-0.0000,170.0000,-0.0000
Skeleton_right_arm_a|1671.7745,42.5008,1840.3729|284.9994,80.0000,0.0000
Skeleton_pelvis_ribs|1670.6014,43.9835,1864.9073|75.0003,150.0000,-0.0001
Pumpkin_E|1670.5814,44.0848,1864.9302|-0.0000,160.0000,-0.0000
Skeleton_right_leg_b|1670.8159,43.8015,1864.6683|-0.0000,140.0000,90.0000
Skeleton_left_leg_a|1670.4982,43.7635,1864.5730|0.0000,210.0000,0.0000
Skeleton_left_leg_a|1459.4768,48.5603,1024.8698|344.9999,320.0000,75.0000
Head_Candle_a|1441.1956,49.4768,1050.8042|-0.0000,160.0000,-0.0000
Pumpkin_B|1456.3226,48.7213,1030.7273|-0.0000,70.0000,-0.0000
Candle_H|1454.3480,48.7320,1033.1284|-0.0000,0.0000,0.0000
Pumpkin_G|1456.3892,48.7213,1031.0995|-0.0000,110.0000,-0.0000
Candle_A|1454.2909,48.7320,1033.0532|-0.0000,0.0000,0.0000
Candle_G|1454.3058,48.7320,1033.2146|-0.0000,0.0000,0.0000
Candle_A|1454.4158,48.7320,1033.1825|-0.0000,0.0000,0.0000
Candle_D|1454.3483,48.7320,1033.2861|-0.0000,0.0000,0.0000
Skeleton|1455.7458,49.6413,1031.4297|90.0000,60.0000,0.0000
wooden coffin b|2296.5515,54.4307,2258.9048|15.0000,50.0000,-0.0000
Skeleton_right_arm_a|2359.3516,55.1041,2260.7571|37.2176,210.0000,216.7730
scythe|1718.7628,49.7472,912.6345|345.0001,350.0000,180.0000
Candle_D|2374.0286,55.2045,2254.7910|-0.0000,0.0000,0.0000
Candle_B|2374.0505,55.2005,2254.6909|-0.0000,0.0000,0.0000
Candle_E|2373.9102,55.2091,2254.7856|-0.0000,0.0000,0.0000
Candle_B|2373.9800,55.2087,2254.8645|-0.0000,0.0000,0.0000
Candle_C|2374.0674,55.2049,2254.8564|-0.0000,0.0000,0.0000
