Skeleton_left_arm_B|1.1837,0.8188,-3.0685|4.5655,290.0000,162.1876
Skeleton_pelvis_ribs|1.5527,0.8576,-3.0072|15.1624,-0.0000,70.6225
Skeleton_head|1.4677,0.9246,-3.2237|15.0001,320.0000,59.9999
Skeleton_right_arm_B|1.2000,0.8218,-2.9924|30.0000,280.0000,-0.0001
Witch Hat|0.0037,2.8771,3.2101|75.0001,180.0000,0.0000
Lantren_A|-0.2899,2.4347,-0.0436|0.0000,300.0000,0.0000
Lantren_A|0.1088,2.4547,-0.0448|-0.0000,80.0000,-0.0000
Head_Candle_A|0.1147,1.3309,3.2326|-0.0000,160.0000,-0.0000
Pumpkin_C|-1.7148,0.4986,2.7453|-0.0000,50.0000,-0.0000
Pumpkin_C|-1.7024,0.7800,2.8661|-0.0000,80.0000,-0.0000
Pumpkin_C|-1.7255,0.4986,3.0724|-0.0000,110.0000,-0.0000
Skeleton_head|1.6604,0.4677,-0.0449|0.0000,230.0000,0.0000
Candle_H|-0.0480,1.3309,3.2998|-0.0000,0.0000,0.0000
Candle_D|-0.0179,1.3309,3.2220|-0.0000,0.0000,0.0000
Candle_Group_C|-0.1496,1.3309,3.2423|-0.0000,0.0000,0.0000
Candle_F|0.2384,1.3309,3.2889|-0.0000,0.0000,0.0000
Candle_H|0.2988,1.3309,3.3176|-0.0000,0.0000,0.0000
Candle_C|0.3016,1.3309,3.2284|-0.0000,0.0000,0.0000
Candle_Group_B|0.3793,1.3309,3.2531|-0.0000,0.0000,0.0000
Candle_A|0.2548,1.3309,3.1890|-0.0000,0.0000,0.0000
